gene_id	colors
ENSG00000139219.19	turquoise
ENSG00000139292.13	turquoise
ENSG00000139329.5	yellow
ENSG00000139330.6	turquoise
ENSG00000139352.4	blue
ENSG00000139800.8	yellow
ENSG00000140015.20	blue
ENSG00000140254.12	turquoise
ENSG00000140274.14	turquoise
ENSG00000140279.13	turquoise
ENSG00000140285.12	yellow
ENSG00000140287.11	blue
ENSG00000140459.18	blue
ENSG00000140479.18	turquoise
ENSG00000140519.14	yellow
ENSG00000140538.16	turquoise
ENSG00000140600.17	brown
ENSG00000140835.10	blue
ENSG00000140873.16	blue
ENSG00000140937.14	turquoise
ENSG00000140945.17	turquoise
ENSG00000141431.12	grey
ENSG00000141449.15	turquoise
ENSG00000141469.18	grey
ENSG00000141738.14	turquoise
ENSG00000141744.4	turquoise
ENSG00000141748.13	brown
ENSG00000142149.9	turquoise
ENSG00000142178.9	grey
ENSG00000142273.13	yellow
ENSG00000142319.18	turquoise
ENSG00000142449.13	turquoise
ENSG00000142494.13	grey
ENSG00000142619.4	yellow
ENSG00000142661.19	blue
ENSG00000142677.4	blue
ENSG00000142798.20	green
ENSG00000142871.18	turquoise
ENSG00000142973.14	yellow
ENSG00000143196.5	yellow
ENSG00000143217.9	yellow
ENSG00000143297.19	yellow
ENSG00000143320.9	grey
ENSG00000143340.6	brown
ENSG00000143341.12	green
ENSG00000143365.19	brown
ENSG00000143452.16	grey
ENSG00000143469.20	turquoise
ENSG00000143546.10	blue
ENSG00000143631.11	green
ENSG00000143839.15	grey
ENSG00000143867.7	turquoise
ENSG00000143869.7	turquoise
ENSG00000143995.20	turquoise
ENSG00000144010.10	turquoise
ENSG00000144015.5	turquoise
ENSG00000144057.15	turquoise
ENSG00000144227.5	grey
ENSG00000144229.12	turquoise
ENSG00000144278.15	turquoise
ENSG00000144331.20	green
ENSG00000144339.12	grey
ENSG00000144355.15	turquoise
ENSG00000144366.16	turquoise
ENSG00000144406.19	turquoise
ENSG00000144485.11	blue
ENSG00000144488.15	grey
ENSG00000144619.15	turquoise
ENSG00000144730.19	turquoise
ENSG00000144810.16	yellow
ENSG00000144908.14	grey
ENSG00000145113.22	yellow
ENSG00000145147.20	turquoise
ENSG00000145242.13	blue
ENSG00000145362.20	turquoise
ENSG00000145423.5	turquoise
ENSG00000145681.11	green
ENSG00000145794.17	turquoise
ENSG00000145824.13	blue
ENSG00000145850.9	blue
ENSG00000145864.14	green
ENSG00000145920.15	grey
ENSG00000145934.16	turquoise
ENSG00000146005.4	turquoise
ENSG00000146013.11	turquoise
ENSG00000146197.9	turquoise
ENSG00000146216.13	turquoise
ENSG00000146233.8	turquoise
ENSG00000146250.7	turquoise
ENSG00000146374.14	turquoise
ENSG00000146477.6	yellow
ENSG00000146839.19	brown
ENSG00000146938.16	brown
ENSG00000146966.13	turquoise
ENSG00000147036.12	blue
ENSG00000147168.13	brown
ENSG00000147246.10	turquoise
ENSG00000147256.12	turquoise
ENSG00000147378.11	blue
ENSG00000147381.11	turquoise
ENSG00000147465.12	blue
ENSG00000147481.17	blue
ENSG00000147485.13	blue
ENSG00000147573.17	turquoise
ENSG00000147642.17	blue
ENSG00000147647.13	grey
ENSG00000147676.14	turquoise
ENSG00000147689.16	turquoise
ENSG00000147724.12	blue
ENSG00000148123.15	grey
ENSG00000148344.11	blue
ENSG00000148346.12	grey
ENSG00000148357.16	blue
ENSG00000148408.13	turquoise
ENSG00000148541.13	green
ENSG00000148600.15	brown
ENSG00000148677.7	brown
ENSG00000148735.15	turquoise
ENSG00000148795.7	turquoise
ENSG00000148798.11	brown
ENSG00000148942.15	turquoise
ENSG00000148948.8	grey
ENSG00000149021.7	grey
ENSG00000149043.16	blue
ENSG00000149380.12	turquoise
ENSG00000149506.11	brown
ENSG00000149534.9	grey
ENSG00000149575.9	blue
ENSG00000149633.12	yellow
ENSG00000149654.11	yellow
ENSG00000149948.14	turquoise
ENSG00000149968.12	turquoise
ENSG00000149972.11	turquoise
ENSG00000150048.10	brown
ENSG00000150051.14	turquoise
ENSG00000150275.19	turquoise
ENSG00000150337.13	turquoise
ENSG00000150361.12	grey
ENSG00000150394.14	turquoise
ENSG00000150471.16	turquoise
ENSG00000150510.17	blue
ENSG00000150551.11	turquoise
ENSG00000150556.17	turquoise
ENSG00000150625.16	turquoise
ENSG00000150722.10	turquoise
ENSG00000150750.8	yellow
ENSG00000150893.11	turquoise
ENSG00000151025.11	turquoise
ENSG00000151322.19	blue
ENSG00000151360.10	blue
ENSG00000151365.2	blue
ENSG00000151468.11	turquoise
ENSG00000151632.17	turquoise
ENSG00000151693.11	green
ENSG00000151718.16	turquoise
ENSG00000151790.9	turquoise
ENSG00000151834.16	grey
ENSG00000151892.15	turquoise
ENSG00000151962.8	turquoise
ENSG00000152092.16	turquoise
ENSG00000152128.13	blue
ENSG00000152137.8	blue
ENSG00000152292.17	grey
ENSG00000152377.14	blue
ENSG00000152402.11	turquoise
ENSG00000152467.10	grey
ENSG00000152495.11	brown
ENSG00000152527.14	turquoise
ENSG00000152580.8	green
ENSG00000152611.12	brown
ENSG00000152669.9	grey
ENSG00000152760.10	blue
ENSG00000152766.6	blue
ENSG00000152779.14	turquoise
ENSG00000152785.8	yellow
ENSG00000152931.9	blue
ENSG00000152953.13	brown
ENSG00000152954.12	turquoise
ENSG00000153012.12	turquoise
ENSG00000153162.9	turquoise
ENSG00000153233.13	turquoise
ENSG00000153253.19	brown
ENSG00000153266.13	yellow
ENSG00000153292.16	blue
ENSG00000153303.17	brown
ENSG00000153446.16	turquoise
ENSG00000153563.16	brown
ENSG00000153707.17	brown
ENSG00000153820.13	blue
ENSG00000153822.14	grey
ENSG00000153930.12	brown
ENSG00000153976.3	turquoise
ENSG00000153993.13	turquoise
ENSG00000154027.19	turquoise
ENSG00000154080.14	turquoise
ENSG00000154096.14	turquoise
ENSG00000154175.18	turquoise
ENSG00000154188.10	yellow
ENSG00000154227.13	blue
ENSG00000154269.15	blue
ENSG00000154274.15	yellow
ENSG00000154330.13	turquoise
ENSG00000154451.14	yellow
ENSG00000154553.16	turquoise
ENSG00000154620.6	grey
ENSG00000154654.15	yellow
ENSG00000154678.18	turquoise
ENSG00000154736.6	turquoise
ENSG00000154764.6	blue
ENSG00000154975.14	blue
