"Gene_Name","Ensembl_ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Significance"
"AC000068.2","ENSG00000273212.1",4.7557549747228,0.526539379431325,0.0500713336503308,10.5157850020207,7.30697434838647e-26,1.1036032107055e-25,"Up in Cluster 7"
"C1orf195","ENSG00000204464.7",4.86930273051774,-0.870111550330821,0.0827716224272312,-10.5121963882704,7.59048385674631e-26,1.14617843591024e-25,"Up in Cluster 4"
"JMJD7","ENSG00000243789.11",6.5554185472673,-0.546356862662645,0.0519802825919324,-10.5108482566704,7.6997840564957e-26,1.16262102065011e-25,"Up in Cluster 4"
"RN7SL809P","ENSG00000241217.3",5.99487194991227,-0.59640723571326,0.0567461785821756,-10.5100863285373,7.76224611555764e-26,1.17198995256802e-25,"Up in Cluster 4"
"KHDC1","ENSG00000135314.12",104.44156378404,0.575500772045001,0.0547614050141176,10.5092404385285,7.83217971201392e-26,1.18248592284075e-25,"Up in Cluster 7"
"TARDBPP2","ENSG00000238213.1",5.5282785803437,0.899875642430402,0.0856384520315073,10.5078457291513,7.94885294230303e-26,1.20003704949583e-25,"Up in Cluster 7"
"AC092757.2","ENSG00000259732.1",9.7957737626829,0.511357401487322,0.0486655308246096,10.5075891051153,7.97050749126326e-26,1.20324211506889e-25,"Up in Cluster 7"
"RPS3AP36","ENSG00000214362.2",6.40673411641834,-0.542246329928142,0.0516132505028286,-10.5059519531409,8.11003725480403e-26,1.22424054489478e-25,"Up in Cluster 4"
"SERPINF2","ENSG00000167711.14",8875.5592281623,-1.05738275626958,0.100665480140692,-10.5039260210329,8.28605733844682e-26,1.25067815905987e-25,"Up in Cluster 4"
"FER1L5","ENSG00000249715.12",35.1700022438523,0.643779141510682,0.0612933743292727,10.5032419662891,8.34634138561764e-26,1.25964307370516e-25,"Up in Cluster 7"
"S1PR4","ENSG00000125910.6",153.094770247918,-0.552555334796206,0.0526119516963371,-10.5024679180392,8.41508073160397e-26,1.26994967350488e-25,"Up in Cluster 4"
"AL356534.1","ENSG00000286215.1",15.9437976767495,-0.602139682927884,0.057347738285631,-10.4997982645596,8.6564925090201e-26,1.30624281903088e-25,"Up in Cluster 4"
